Mk,Cn,Enedc
ADI,AUDI RS Q3,191.0
ALFA ROMEO,4C,157.0
ALFA ROMEO,4C SPIDER,161.0
ALFA ROMEO,ALFA GIULIA QUADRIFOGLIO,189.0
ALFA ROMEO,ALFA GIULIETTA,154.99065420560748
ALFA ROMEO,ALFA MITO,122.1
ALFA ROMEO,GIULIA,154.1858216970999
ALFA ROMEO,GIULIA QUADRIFOGLIO,208.01052631578946
ALFA ROMEO,STELVIO,165.0
ALFA ROMEO,STELVIO QUADRIFOGLIO,219.42745098039217
ALPINA,BMW ALPINA B3 S BITURBO,191.71428571428572
ALPINA,BMW ALPINA B3 S BITURBO TOURING,207.0
ALPINA,BMW ALPINA B3 S BITURBO TOURING ALLRAD,209.0
ALPINA,BMW ALPINA B4 S BITURBO,190.0
ALPINA,BMW ALPINA B4 S BITURBO CABRIO,207.0
ALPINA,BMW ALPINA B4 S BITURBO COUPE,207.0
ALPINA,BMW ALPINA B4 S BITURBO COUPE ALLRAD,209.0
ALPINA,BMW ALPINA B5 BITURBO,245.5
ALPINA,BMW ALPINA B5 BITURBO ALLRAD,248.0
ALPINA,BMW ALPINA B5 BITURBO ALLRAD M3,254.0
ALPINA,BMW ALPINA B5 BITURBO TOURING ALLRAD,248.0
ALPINA,BMW ALPINA B5 BITURBO TOURING ALLRAD M3,254.0
ALPINA,BMW ALPINA B7,253.0
ALPINA,BMW ALPINA B7 BITURBO,242.0
ALPINA,BMW ALPINA D3 BITURBO,146.11111111111111
ALPINA,BMW ALPINA D4 BITURBO,139.0
ALPINA,BMW ALPINA D5 S,180.22222222222223
ALPINA,BMW ALPINA D5 S ALLRAD,192.0
ALPINA,BMW ALPINA D5 S TOURING ALLRAD,192.0
ALPINA,BMW ALPINA XD3,183.0
ALPINA,BMW ALPINA XD4,183.0
ALPINE,A110,143.81345565749234
AMF-BRUNS,CADDY,139.0
ASTON MARTIN,DB11,239.85555555555555
ASTON MARTIN,DB11 AMR,265.0
ASTON MARTIN,DB11 VOLANTE,231.11864406779662
ASTON MARTIN,DBS,285.0
ASTON MARTIN,DBS VOLANTE,295.0
ASTON MARTIN,LAGONDA,300.0
ASTON MARTIN,RAPIDE AMR,305.0
ASTON MARTIN,RAPIDE S,300.0
ASTON MARTIN,V12 VANTAGE S,395.0
ASTON MARTIN,V12 VANTAGE S ROADSTER,343.0
ASTON MARTIN,V8 VANTAGE AMR ROADSTER,296.0
ASTON MARTIN,V8 VANTAGE S,311.0
ASTON MARTIN,V8 VANTAGE S ROADSTER,296.0
ASTON MARTIN,VANQUISH S,302.0
ASTON MARTIN,VANQUISH S VOLANTE,302.0
ASTON MARTIN,VANQUISH ZAGATO SHOOTING BRAKE,311.0
ASTON MARTIN,VANQUISH ZAGATO VOLANTE,302.0
ASTON MARTIN,VANTAGE,236.0
ASTON MARTIN,VANTAGE GT12,332.0
ASTON MARTIN,VANTAGE GT8,319.0
ASTON MARTIN,neu,265.0
AUDI,A1,112.09302325581395
AUDI,A1 CITYCARVER,119.21691973969631
AUDI,A1 SPORTBACK,115.96771310468104
AUDI,A3 40 E-TRON,45.193548387096776
AUDI,A3 CABRIOLET,127.46518888541992
AUDI,A3 LIMOUSINE,118.70604092635706
AUDI,A3 SPORTBACK,119.71706084579381
AUDI,A3 SPORTBACK E-TRON,44.16216216216216
AUDI,A3 SPORTBACK G-TRON,95.90355329949239
AUDI,A4 ALLROAD QUATTRO,151.87493696419565
AUDI,A4 AVANT,127.62625587666754
AUDI,A4 AVANT G-TRON,109.64285714285714
AUDI,A4 LIMOUSINE,125.96991468343063
AUDI,A4 LIMOUSINE QR4185 A7,155.0
AUDI,A5 CABRIOLET,143.0766550522648
AUDI,A5 COUPE,137.04460580912863
AUDI,A5 SPORTBACK,132.48596443722357
AUDI,A5 SPORTBACK 20 R4140 A7,127.0
AUDI,A5 SPORTBACK 40 TFSI,127.0
AUDI,A5 SPORTBACK G-TRON,110.81168831168831
AUDI,A5 SPORTBACK QUATTRO,144.0
AUDI,A6 55 TFSI E,45.285714285714285
AUDI,A6 ALLROAD QUATTRO,158.54278606965175
AUDI,A6 AVANT,141.105407736289
AUDI,A6 LIMOUSINE,136.75745499519033
AUDI,A6 LIMOUSINE QUATTRO,158.0
AUDI,A6 QUATTRO TFSI LIMOUSINE,154.0
AUDI,A6 TDI,154.0
AUDI,A7 55 TFSI E,45.57142857142857
AUDI,A7 SPORTBACK,149.79322429906543
AUDI,A7 SPORTBACK QUATTRO 30,162.0
AUDI,A7 SPORTBACK QUATTRO TFSI,163.0
AUDI,A8,159.43941326530611
AUDI,A8 50TDI,152.0
AUDI,A8 60 TFSI E,61.0
AUDI,A8 L,159.03799185888738
AUDI,A8 L 30T,177.0
AUDI,A8 L 55 TFSI QUATTRO,291.0
AUDI,A8 L QUATTRO,291.0
AUDI,AUDI A1,161.9268292682927
AUDI,AUDI A3,190.5099502487562
AUDI,AUDI A4,211.87116564417178
AUDI,AUDI A4 AVANT,207.625
AUDI,AUDI A4 LIMOUSINE,196.4
AUDI,AUDI A5,216.53731343283582
AUDI,AUDI A5 CABRIO,202.6153846153846
AUDI,AUDI A5 COUPE,206.0
AUDI,AUDI A5 SPORTBACK,236.66666666666666
AUDI,AUDI A6,222.83977900552486
AUDI,AUDI A6 / AUDI S6,111.0
AUDI,AUDI A7,217.51136363636363
AUDI,AUDI A8,265.75454545454545
AUDI,AUDI E-TRON,0.0
AUDI,AUDI E-TRON GT,0.0
AUDI,AUDI Q2,146.42105263157896
AUDI,AUDI Q3,202.66346153846155
AUDI,AUDI Q5,212.07114624505928
AUDI,AUDI Q7,272.02564102564105
AUDI,AUDI Q8,293.2317073170732
AUDI,AUDI R8 COUPE,299.0
AUDI,AUDI RS 7,220.0
AUDI,AUDI RS Q3,209.21428571428572
AUDI,AUDI RS Q3 SB,191.0
AUDI,AUDI RS Q8,411.0
AUDI,AUDI RS3,189.0
AUDI,AUDI RS4 AVANT,249.0
AUDI,AUDI RS5,190.0
AUDI,AUDI RS6 AVANT,220.0
AUDI,AUDI RS7,220.0
AUDI,AUDI SPORT RS4 AVANT,249.0
AUDI,AUDI TS Q8,401.0
AUDI,AUDI TT,224.02631578947367
AUDI,E-TRON,0.0
AUDI,E-TRON 50,0.0
AUDI,E-TRON 55,0.0
AUDI,H-TRON,0.0
AUDI,NEO,0.0
AUDI,Q2,126.5605072274696
AUDI,Q2 E-TRON,0.0
AUDI,Q2 L,197.0
AUDI,Q2 L E-TRON,0.0
AUDI,Q3,148.23645428873985
AUDI,Q3 SPORTBACK,151.54752233956134
AUDI,Q5,145.13693208801647
AUDI,Q5 50 TFSI E,49.77777777777778
AUDI,Q7,176.22355769230768
AUDI,Q7 30T,193.0
AUDI,Q7 40 TFSI,179.0
AUDI,Q7 45 20 TFSI,169.0
AUDI,Q7 45 TFSI,179.0
AUDI,Q7 55 TFSI,193.0
AUDI,Q7 E-TRON,49.333333333333336
AUDI,Q7 QUATTRO 30 TFSI,185.66666666666666
AUDI,Q7 QUATTRO 45TFSI,189.0
AUDI,Q7 QUATTRO R4,171.0
AUDI,Q7 QUATTRO R4185 A8,171.0
AUDI,Q8,179.894133384292
AUDI,Q8 QUATTRO I-HEV,196.0
AUDI,R8 COUPE,297.546365914787
AUDI,R8 SPYDER,301.3805668016194
AUDI,RS 3 SPORTBACK,194.8163965087282
AUDI,RS Q3,203.0
AUDI,RS Q3 SPORTBACK,203.98067632850243
AUDI,RS Q8,276.0
AUDI,RS3 LIMOUSINE,194.0019120458891
AUDI,RS4 AVANT,208.3622848200313
AUDI,RS5 COUPE,206.0
AUDI,RS5 SPORTBACK,206.9534574468085
AUDI,RS6 AVANT,268.45723684210526
AUDI,RS6 AVANT PERFORMANCE,223.0
AUDI,RS7 SPORTBACK,264.9718309859155
AUDI,S1 SPORTBACK,168.0
AUDI,S3,187.0
AUDI,S3 CABRIOLET,164.55587392550143
AUDI,S3 LIMOUSINE,157.28901734104045
AUDI,S3 SPORTBACK,157.63447350771295
AUDI,S4 AVANT,164.9668508287293
AUDI,S4 LIMOUSINE,163.94285714285715
AUDI,S5 CABRIOLET,198.0
AUDI,S5 COUPE,162.61904761904762
AUDI,S5 SPORTBACK,162.80276816608998
AUDI,S6 AVANT,171.0
AUDI,S6 LIMOUSINE,164.50153846153847
AUDI,S7 SPORTBACK,170.0
AUDI,S8,260.0
AUDI,SQ2,162.45867768595042
AUDI,SQ5,177.65350877192984
AUDI,SQ5 TDI,174.0
AUDI,SQ7,199.0814889336016
AUDI,SQ7 QUATTRO,198.0
AUDI,SQ8,204.94201312910283
AUDI,TT COUPE,153.47919655667144
AUDI,TT ROADSTER,158.82623906705538
AUDI,TT RS COUPE,181.0
AUDI,TT RS ROADSTER,182.91011235955057
AUDI,TTS COUPE,161.0
AUDI,TTS ROADSTER,165.52727272727273
AUDI SPORT,AUDI A3,208.33333333333334
AUDI SPORT,AUDI A5,249.5
AUDI SPORT,AUDI A5 COUPE,197.0
AUDI SPORT,AUDI A5 SPORTBACK,300.0
AUDI SPORT,AUDI A6,303.36842105263156
AUDI SPORT,AUDI A7,305.90909090909093
AUDI SPORT,AUDI Q3,295.0
AUDI SPORT,AUDI Q8,355.59090909090907
AUDI SPORT,AUDI R8,313.3333333333333
AUDI SPORT,AUDI TT,261.25
AURUS,SENAT,432.0
AUTOMOBILI LAMBORGHINI SPA,AVENTADOR,442.755905511811
AUTOMOBILI LAMBORGHINI SPA,HURACAN,330.84158415841586
AUTOMOBILI LAMBORGHINI SPA,UNUS,292.0
AUTOMOBILI LAMBORGHINI SPA,URUS,291.77815699658703
B-STYLE & FLEX-I-TRANS,CADDY MAXI,133.0
BAIC,BAIC PRC,270.0
BAIC,BJ20,191.78787878787878
BAIC,D20,173.0
BAIC,X25,174.55555555555554
BAIC,X35,175.8421052631579
BENTLEY,BENTAYGA HYBRID,82.0
BENTLEY,BENTAYGA SPEED,320.0
BENTLEY,BENTAYGA V8,261.9158878504673
BENTLEY,BENTAYGA V8 DIESEL,210.0
BENTLEY,BENTAYGA W12,296.0
BENTLEY,CONTINENTAL,126.0
BENTLEY,CONTINENTAL GT,278.0223880597015
BENTLEY,CONTINENTAL GT CONVERTIBLE,284.0
BENTLEY,CONTINENTAL GT V8,255.0
BENTLEY,CONTINENTAL GT V8 CONVERTIBLE,260.0
BENTLEY,CONTINENTAL GT V8 S,250.0
BENTLEY,CONTINENTAL GT V8 S CONVERTIBLE,258.0
BENTLEY,CONTINENTAL SUPERSPORTS,362.0
BENTLEY,CONTINTENTAL GT SPEED,338.0
BENTLEY,FLYING SPUR V8 S,254.0
BENTLEY,MULSANNE,350.0
BENTLEY,MULSANNE EXTENDED WHEELBASE,350.0
BENTLEY,MULSANNE SPEED,350.0
BMW,116D,107.74295377677565
BMW,116I,134.33597122302157
BMW,118D,114.06120023767083
BMW,118D XDRIVE,135.9952606635071
BMW,118I,127.66850762396446
BMW,120D,121.59086993970715
BMW,120D XDRIVE,124.09716599190283
BMW,120I,136.57377622377624
BMW,125D,126.0
BMW,125I,139.98832684824902
BMW,216D,100.6
BMW,216D ACTIVE TOURER,108.61658031088083
BMW,216D GRAN TOURER,112.91037735849056
BMW,216I ACTIVE TOURER,129.29113924050634
BMW,216I GRAN TOURER,134.6981339187706
BMW,218D,124.76421404682274
BMW,218D ACTIVE TOURER,116.21187025534852
BMW,218D GRAN TOURER,118.96259073143496
BMW,218D XDRIVE ACTIVE TOURER,122.58771929824562
BMW,218D XDRIVE GRAN TOURER,125.24324324324324
BMW,218I,141.13612004287245
BMW,218I ACTIVE TOURER,127.54973821989529
BMW,218I GRAN TOURER,130.1357649442756
BMW,220D,123.48892405063292
BMW,220D ACTIVE TOURER,115.42477876106194
BMW,220D GRAN TOURER,119.82476635514018
BMW,220D XDRIVE,135.1044776119403
BMW,220D XDRIVE ACTIVE TOURER,122.73517786561264
BMW,220D XDRIVE GRAN TOURER,127.76569037656904
BMW,220I,140.20846493998738
BMW,220I ACTIVE TOURER,129.57877813504822
BMW,220I GRAN TOURER,135.36587771203156
BMW,225D,127.37062937062937
BMW,225I ACTIVE TOURER,135.0
BMW,225I XDRIVE,139.0
BMW,225I XDRIVE ACTIVE TOURER,143.32978723404256
BMW,225XE,46.0
BMW,225XE IPERFORMANCE,47.76874340021119
BMW,228I,165.0
BMW,228I XDRIVE,168.0
BMW,230I,141.11977186311788
BMW,316D,121.57757009345795
BMW,318D,118.86169772256729
BMW,318I,140.10989932885906
BMW,320D,120.48349628144062
BMW,320D EFFICIENT DYNAMICS,122.00520833333333
BMW,320D XDRIVE,127.9039941902687
BMW,320I,133.5894874022589
BMW,320I XDRIVE,149.40075757575758
BMW,325D,124.0
BMW,330D,137.08567415730337
BMW,330D XDRIVE,145.26809015421114
BMW,330E,37.71157495256167
BMW,330E IPERFORMANCE,44.0
BMW,330I,135.2114705082903
BMW,330I XDRIVE,146.50919540229884
BMW,335D XDRIVE,165.73291925465838
BMW,340I,173.37047353760445
BMW,340I XDRIVE,187.40942928039703
BMW,418D,120.88888888888889
BMW,420D,125.07824143070044
BMW,420D XDRIVE,134.158357771261
BMW,420I,141.8569069895432
BMW,420I XDRIVE,151.6448087431694
BMW,430D,148.38181818181818
BMW,430D XDRIVE,157.6740506329114
BMW,430I,142.45550847457628
BMW,430I XDRIVE,154.89256198347107
BMW,435D XDRIVE,164.40751445086704
BMW,440I,169.36082474226805
BMW,440I XDRIVE,179.31190476190477
BMW,518D,119.0
BMW,520D,122.060041864052
BMW,520D EFFICIENT DYNAMICS,109.0
BMW,520D XDRIVE,130.64843287995268
BMW,520I,136.49721706864565
BMW,525D,135.88105726872246
BMW,530D,141.0292800551154
BMW,530D XDRIVE,153.00560328726186
BMW,530E IPERFORMANCE,44.37701920146297
BMW,530E XDRIVE IPERFORMANCE,48.003690036900366
BMW,530I,138.33761026463512
