Mk,Enedc
ADI,191
ALFA ROMEO,166.0077307
ALPINA,211.240708
ALPINE,143.8134557
AMF-BRUNS,139
ASTON MARTIN,255.4485777
AUDI,137.9890973
AUDI SPORT,306.9012346
AURUS,432
AUTOMOBILI LAMBORGHINI SPA,335.2215088
B-STYLE & FLEX-I-TRANS,133
BAIC,184.1160714
BENTLEY,265.0044709
BMW,138.3366133
BMW I,1.878330923
BORGWARD,233
BRABUS AUTOMOTIVE,324.6
BRONTO,216.5357143
BUGATTI,522
BUICK,179.2916667
CADILLAC,241.1077982
CAMARO,337
CATERHAM CARS LTD,182.5714286
CCK-WESTFIELD,178
CHEVROLET,255.8032172
CHRYSLER,291.28125
CITROEN,114.9981686
CITROEN DS,118.2927757
DACIA,134.5640632
DAIMLER,37.2
DALLARA,209
DANGEL,
DAVID BROWN,292
DETHLEFFS,163.3945946
DFSK SOKON,200.59375
DODGE,324.820202
DONKERVOORT,178
DR AUTOMOBILES SRL,152
DURANGO,
EGO,0
FERRARI,279.5026624
FIAT,129.9265919
FIAT/ABARTH,151.3495146
FORD,140.8498768
FORD-CNG-TECHNIK,109.8888889
FX,299
GMC,279.8333333
GREAT WALL MOTOR COMPANY,179.5
GUMPERT AIWAYS AUTOMOBILE,28.5
GY,187
HARRIER,234
HONDA,130.4973039
HYUNDAI,131.9829829
HYUNDAI GENESIS,262
HYUNDAI MOTOR,155.8571429
INFINITI,176.8515625
IVECO,
JAC,0
JAGUAR,153.961193
JEEP,179.3438204
JETTA,190.3636364
JHH,158
KIA,131.2462575
LADA,198.5591631
LADA AUTOMOBILE GMBH,221.9686324
LAND ROVER,180.2722488
LEVC,
LEXUS,120.6658999
LINCOLN,271.8947368
LOTUS,205.4661654
MAHINDRA,269
MAN,126.1363636
MASERATI,252.8017335
MAZDA,137.4327459
MCLAREN,257.5181159
MERCDES-AMG,321
MERCEDES-AMG,249.3007603
MERCEDES-BENZ,148.7444853
MINI,121.7386641
MITSUBISHI,121.2368216
MORGAN,213.5223881
MPM MOTORS,152.75
NIO,0
NISSAN,120.0448662
OPEL,129.9622984
PAGANI,343
PEUGEOT,115.4898904
PIAGGIO,150
PILOTE,317.5
POESSL,155.5019157
PORSCHE,192.3688704
R1EAMG,
R1ECLS,
RENAULT,114.7817814
RENAULT OU DACIA,145
ROLLER TEAM,178
ROLLS-ROYCE,343.8802817
SEAT,124.4718629
SKODA,121.4618612
SMART,97.63316656
SONO MOTORS GMBH,0
SORTIMO SPEEDWAVE,175.6666667
SSANGYONG,180.9058994
SUBARU,164.1133031
SUZUKI,125.7465721
SYMC,182
TATA,234
TESLA,0
THINK,0
THUNDERBOLT,367
TOTH ES FIAI,166.3333333
TOYOTA,101.2898319
VOLKSWAGEN MOTORSPORT,230
VOLKSWAGEN,127.1423283
VOLVO,139.3784824
X-RAID,
ZENVO,366
